Bairro,10000 LUZIANE	DO	MUCURA,10111 PROFESSORA	NONATA	COSTA,10123 PAULINHO	PROMOÇÕES,10222 MICHAEL	SULLYVAN,10333 DAVID	GARCÊS,10456 GLEIDSON	DA	BOA	AGUA,10555 PROFESSORA	ADRIANA,10610 KINZINHO	DO	VOLMIR,10777 PAULO	DA	JUDITE,10789 FLÁVIO	CASCAVELENSE,10888 PROFESSORA	LINDETE,11000 FREITAS	DA	SAÚDE,11111 PASTORA	HELENA	CORDEIRO,11123 DALVA	DO	MANGUINHOS,11190 MAGALY	MORAIS,11222 SEBASTIÃO	UCHÔA,11234 TIA	LURDES,11444 EVILÁSIO	DANTAS,11555 LÉO	DA	BICA,11666 LIBERATO	FILHO,11777 DIONES	LIMA,11789 EDUARDO	CRUZ,11888 SÉRGIO	DO	TANGA,11999 JAIRO	TAXISTA,12012 MARIANGELA,12111 CRISTIANE	GOMES,12123 NENEM	DA	VIUVA,12333 IAGO	MOURA,12344 ALDIZIO,12345 DR	GUTEMBERG,12555 HELIO	ALEGRIA,12666 MARIA	ELENICE,12777 VITORIA	MARTINS,12789 DAYANE,12888 NETO	POLI,13000 MARIA	JÔ,13123 PROFESSOR	ADEILDO,13210 FÁTIMA	INACIO	EX	PROF.	CNEC,13222 FÁBIA	NAPOLEAO,13444 TIAGO	ROCHA,13456 ENFERMEIRA	LEUDA	CARVALHO,13567 PROFESSOR	OZELITO,13789 PROFESSOR	ERIVAN,18000 PROFESSOR	JOSÉ	BESOURO,18024 JOJO,18111 SILVIA	DECORAÇÕES,18133 ANIZIA,18209 EDNILDA,18235 CLENILSON	DA	MANGABEIRA,18400 UELITON	FARIAS,18444 ELIANE,18555 TICO,18666 DR	AURÉLIO,18713 JERUSALEM,18777 FABIO	MARTINS,18888 PROFESSOR	SILVESTRE,18999 PROFESSOR	BOSCO,20111 ALEUTON	SEM	RECURSO,20123 PEDRO	ARTUR,20333 CELIA	DAS	MARIAS,20444 DR	MARCIO	OLIVEIRA	ADVOGADO,20456 VERA	DANTAS,20777 CLAUDIA	MARIA,22000 CLAUDEMIR	TOCA	FOGO,22100 NÚBIA	DO	ABRIGO	MASCOTINHO,22111 VINÍCIUS	OLINDA,22222 RAFAEL	AZEVEDO,22300 GILBERTO	DA	MANGABEIRA,22333 TAZIA	XAVIER,22444 EDILENE	QUEROGA,22555 RAFAEL	OLIVEIRA,22678 PASTORA	PATRÍCIA,22777 GUI	DA	PADARIA,22888 LEIDIANE	CIRÍACO,22999 PITANGA	DA	FUNERÁRIA,27000 LAURO	CARDOSO,27007 SAMIA	REGIS,27111 DIEGO	MARADONA,27123 MARCIO	RABELO,27333 GALILEU,27456 ENFERMEIRA	MARCIA,27555 FAFA,27777 SERGINHO	PARATLETA,27888 MARCELO	DO	PAREDÃO,27999 JUNIOR	GENRO	JULIO,28000 VLADIA	DE	OLIVEIRA,28007 JOSUÉ	CORREIA,28028 MAILSON,28111 JORGE	RODRIGUES,28123 PRISCILA	LIMA,28124 MARLY	DO	BENJAMIN,28333 ADILENE	NOBRE,28456 HAVAGARDO	SILVA,28555 DR	RUBENS,28666 FANTIQUIM,28777 CLENILDO	QUEIROZ,28888 VALDECIR,40000 VIEIRA	DO	TIQUINHO,40111 ALLISON	CAMILO,40123 BETO	RAMIRES,40222 NETA	FREITAS,40444 ADONIAS	DO	TURISMO,40456 JORDANA	BRAGA,40555 NOVO	CONSTRUÇÃO,40789 GIRLANE	DO	CEDRO,40888 ENFERMEIRA	NATECIA,44000 OLIVEIRA	SILVA,44111 DODÓ,44123 GAVIÃO	SILVA,44222 LALÁ,44333 ELISANGELA	SILVA,44444 KEKEU	DO	MUCURA,44456 JEOVANE	DO	GÁS,44555 LURDENIS	VIEIRA,44567 NETO	DANTAS,44777 NILDE	BORGES,44789 LUCIÉDSON	FREITAS,44900 SHEIK	DO	DR	BRUNO,45000 MAJU,45111 BAMBAM	DAS	PEGADINHAS,45112 LUCIANA,45121 MAZE,45123 DUDU	DA	CAPONGA,45222 YURI	MOTA,45234 ALZANIR,45444 PALOMA	DELRIO,45555 FRANCISCO	DO	BALBINO,45678 JUNIOR	DO	ZE	AIRTON,45777 BRUMARK,45789 PATRICIA,45888 ZE	DO	JORNAL,70000 RONALDO	FEITOSA,70007 TONI	 CARVALHO,70100 RUBENILTON,70123 LU	 MAIA,70133 LEILDA	LELÊ,70555 HELENA	PORFÍRIO,70888 DINIZ,Total Votos
CAPONGA(ESTRADA DE AGUAS BELAS),6,39,7,0,7,4,0,77,4,1,0,7,0,0,6,1,0,0,0,7,0,2,0,5,0,0,3,0,0,1,0,0,27,0,38,1,5,0,1,11,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,0,0,40,0,0,0,0,0,2,1,0,0,2,0,1,0,0,2,110,0,0,0,0,26,0,0,3,0,51,0,27,5,80,6,0,115,0,24,0,0,0,0,0,1,3,10,2,1,0,15,0,0,11,0,0,0,31,0,0,1,19,0,1,0,0,0,0,0,0,2,1,0,882
GUANACES(BOA ÁGUA),1,0,2,0,2,253,1,0,115,48,0,2,1,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,10,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27,1,0,0,0,1,0,0,0,0,9,0,0,6,0,1,2,0,16,1,0,0,0,0,4,0,0,0,0,0,3,4,5,0,6,0,0,0,7,0,0,0,0,5,2,0,0,0,1,17,0,35,17,0,3,0,0,0,0,0,0,2,6,2,0,0,5,0,1,0,0,0,0,655
ALTO LUMINOSO,178,1,91,5,30,30,1,1,58,69,0,287,4,0,0,44,1,2,0,2,8,2,2,1,0,0,147,0,0,0,2,1,0,2,75,2,53,1,18,48,1,4,39,2,1,0,2,1,0,0,0,0,0,2,1,0,3,1,0,1,0,0,0,67,48,56,26,4,1,4,12,0,2,3,38,13,0,3,25,2,13,0,4,4,19,0,18,0,21,67,2,2,2,0,3,19,97,260,8,27,1,13,0,139,5,1,23,12,17,1,0,64,3,34,23,0,16,15,0,4,0,3,4,2,0,2,6,10,14,0,2,2,0,0,0,0,8,0,2518
CAMURIM,7,3,18,0,12,6,1,3,17,4,0,20,0,0,0,8,0,0,0,2,0,1,0,2,0,0,1,0,0,0,2,0,11,1,47,0,25,0,0,29,4,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,20,3,0,0,2,0,0,0,0,4,7,0,0,8,0,5,0,0,16,41,0,0,0,1,23,0,0,0,0,13,0,12,11,8,35,1,51,0,3,7,1,4,0,3,0,0,7,0,16,8,0,17,0,29,1,0,1,1,0,0,0,36,2,0,0,0,0,0,2,0,0,0,0,651
BESSALANDIA,40,1,109,2,14,45,5,3,86,61,0,85,8,0,0,27,3,3,0,0,4,12,2,1,0,4,32,0,0,2,1,0,14,0,29,6,53,3,24,85,0,4,44,10,2,0,3,0,0,6,2,0,0,0,1,0,0,0,0,3,0,0,1,41,64,40,44,0,5,20,12,0,2,16,32,25,0,7,122,1,42,1,8,27,4,1,22,13,3,94,2,4,3,2,1,13,51,66,18,39,7,16,1,79,3,0,23,3,13,1,2,30,9,32,14,0,29,3,1,4,5,1,0,5,6,18,25,9,20,3,7,1,0,0,1,1,3,10,2070
MOITA REDONDA,6,0,13,0,1,8,0,0,60,80,0,17,3,0,0,15,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,11,0,37,0,2,37,0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,35,3,0,0,2,4,3,1,1,7,11,0,0,19,0,1,0,0,1,0,0,0,1,0,25,1,0,0,1,0,2,2,36,1,2,0,4,0,42,0,0,7,1,3,0,0,0,0,0,4,0,2,2,3,0,0,0,1,1,0,0,2,13,260,0,0,0,0,0,0,0,0,0,826
JACARECOARA,19,0,5,0,0,41,2,1,23,24,0,7,1,0,0,161,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,25,0,51,0,4,108,0,2,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,13,1,21,1,0,2,0,0,1,2,75,0,0,1,0,5,1,0,8,21,0,3,0,0,26,0,0,1,0,5,2,4,11,0,13,1,5,51,12,0,0,5,1,0,0,0,11,1,3,4,0,1,2,0,0,0,0,0,1,0,0,6,0,1,2,3,0,0,4,1,0,0,0,842
GUANACES(LAGOA DE SOUSA),9,1,4,0,1,65,0,0,4,6,0,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,370,0,0,0,1,6,0,0,0,1,0,0,0,0,0,9,0,0,1,12,0,0,0,0,7,0,0,0,0,0,0,2,6,4,2,0,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0,1,0,0,0,0,597
PITOMBEIRAS,15,0,1,0,9,54,0,0,24,39,0,2,7,0,0,70,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,40,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,60,3,0,9,0,13,0,6,4,80,0,0,0,0,0,0,0,0,2,0,7,3,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,1,0,0,0,0,529
CAPONGA(CENTRO),1,40,10,0,12,3,1,98,9,4,0,4,0,0,13,1,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,33,1,30,0,9,0,2,16,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,2,3,0,25,0,2,0,0,0,2,3,0,1,0,0,7,0,0,5,54,0,0,0,0,12,0,0,0,0,52,0,18,9,76,4,0,74,2,17,1,0,1,0,0,0,5,10,2,1,1,3,3,0,3,1,0,1,16,1,0,0,16,0,1,0,0,0,0,0,1,8,1,0,775
GUANACES(CHORO UMARI - 2),6,0,0,0,0,4,0,0,22,5,0,46,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,13,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,16,0,0,0,0,0,15,13,22,1,16,0,0,0,33,0,0,5,40,4,0,0,8,0,0,2,0,1,11,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,339
JACARECOARA(MANGABEIRA),6,0,9,0,0,1,0,0,6,16,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,9,0,6,69,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,2,52,0,0,4,0,1,1,1,12,0,1,6,0,1,0,0,1,0,0,2,1,0,4,0,0,0,0,0,0,7,3,0,2,0,1,1,0,0,0,3,0,0,0,0,4,1,1,1,0,2,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,302
TIJUCUSSU 2,45,2,11,0,0,5,0,0,8,30,0,20,0,0,1,11,0,0,0,1,0,8,0,1,0,1,3,0,1,0,2,0,4,0,13,0,6,0,1,33,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,4,19,5,1,0,0,1,0,0,0,8,7,0,0,3,0,8,0,1,3,6,0,0,1,0,20,0,0,0,0,1,0,1,9,4,13,0,48,4,7,1,0,2,1,0,0,0,1,0,9,4,0,0,0,5,6,24,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,469
GUANACES(NEVES DOIS),1,0,4,0,4,17,0,0,12,4,0,1,0,0,0,3,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,3,6,1,38,0,0,0,34,0,0,0,0,1,1,0,0,0,1,1,0,1,29,0,0,0,0,0,0,0,1,0,18,0,0,0,17,0,0,0,0,0,0,281
GUANACES(CHORO JATOBA 1),0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
SITIO BICA,12,1,17,0,9,18,0,0,41,26,0,7,2,3,0,24,0,0,0,0,0,2,0,0,3,0,16,0,0,0,0,1,1,2,7,0,26,1,10,34,1,7,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,60,4,31,21,16,5,0,1,0,1,5,11,9,0,0,28,0,18,0,0,6,2,0,4,2,1,71,0,2,1,0,0,7,12,13,2,3,0,10,0,26,7,0,8,3,2,0,0,2,4,1,12,0,2,4,0,0,0,0,0,2,0,15,12,2,2,0,27,1,0,0,0,0,0,0,771
GUANACES(CURRALHINHO),1,0,2,0,0,13,0,0,1,25,0,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,19,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,9,0,0,2,1,0,0,0,0,0,0,173
GUANACES(ALAGADICINHO),3,0,0,0,0,1,1,0,12,0,0,14,2,0,0,7,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13,3,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,7,0,0,0,77,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,208
SITIO BURITIZAL,12,0,17,0,0,24,4,0,68,30,0,19,4,0,0,9,0,0,0,0,0,3,0,0,0,0,21,0,0,0,0,16,2,0,41,7,44,0,3,9,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,2,16,3,0,0,1,6,0,2,0,3,2,0,0,3,0,5,0,0,24,13,1,4,0,0,40,0,1,0,0,0,0,13,9,10,7,0,12,0,18,1,0,0,0,4,0,1,3,1,40,11,0,9,6,1,0,0,1,1,0,0,2,8,8,10,0,0,0,0,1,0,0,0,0,703
SITIO HIGINO,5,0,4,0,1,2,0,0,9,8,0,9,1,0,0,28,0,0,0,0,0,0,0,0,3,0,7,0,0,1,0,0,3,0,2,0,11,2,1,14,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,29,0,1,0,0,0,1,0,13,3,0,0,3,0,4,0,0,11,0,0,1,1,0,12,0,0,0,0,0,5,8,5,1,2,1,2,1,1,0,0,1,0,2,0,0,3,0,1,5,0,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,265
JACARECOARA(RIACHO FUNDO),8,0,7,1,9,4,0,0,13,5,0,6,1,0,1,112,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,4,1,19,0,15,4,0,35,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8,3,19,3,0,0,0,2,0,1,2,2,17,0,1,3,0,3,0,0,2,0,0,1,0,0,15,0,0,0,0,0,2,4,10,0,0,0,1,0,5,0,0,33,1,3,0,0,1,12,4,2,0,0,1,0,2,0,2,0,0,0,0,7,4,1,0,6,0,0,0,0,0,0,0,453
JACARECOARA(CHORO PEDRINHAS),5,0,1,0,0,2,4,0,55,9,0,2,0,0,0,44,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,9,0,6,0,1,22,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,6,0,0,1,0,4,0,1,3,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,3,0,1,0,1,1,9,0,0,3,0,0,0,0,2,0,1,5,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,275
BARRA VELHA,4,0,14,1,0,3,0,0,6,10,0,21,1,0,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,1,26,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,1,0,2,0,0,6,0,0,1,0,0,0,0,23,29,0,3,0,0,11,0,0,0,0,0,2,1,7,2,2,0,18,0,10,0,0,18,0,1,0,0,8,1,6,1,0,5,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,1,0,0,0,353
COHAB,20,3,26,0,10,9,0,1,37,71,0,41,6,0,0,31,0,0,0,0,0,5,0,0,0,1,6,0,0,0,1,1,2,0,26,5,18,0,6,19,3,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,13,21,42,7,3,1,0,5,0,1,1,144,19,5,1,14,0,26,0,1,23,4,0,10,0,0,33,0,0,1,4,1,2,25,19,4,55,3,10,0,41,1,0,7,0,17,0,0,5,8,7,11,0,15,5,0,2,0,1,0,1,0,0,9,1,2,0,2,1,0,1,0,0,2,0,998
PITOMBEIRAS(POVOADO DE OITICICA),3,0,0,0,0,0,0,0,3,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2,18,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94
SITIO COAÇU,3,0,11,0,9,4,0,0,19,6,0,11,4,0,0,7,1,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,2,20,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,5,23,11,1,0,0,0,0,0,0,21,2,0,0,1,0,13,0,3,0,0,0,0,0,0,24,0,1,0,0,0,0,17,13,3,2,0,3,0,12,0,0,0,0,1,0,0,2,0,2,4,0,1,0,0,2,0,0,0,0,0,0,6,1,3,0,2,0,0,3,0,1,0,2,323
GUANACES(BRITO),0,0,6,0,1,12,0,0,2,6,0,5,2,0,0,79,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,14,1,0,0,0,5,0,0,4,10,2,0,0,0,0,1,0,0,0,1,0,0,6,0,41,1,0,2,0,1,4,8,6,0,216,0,1,0,7,0,0,1,1,0,0,0,0,0,6,2,0,3,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,3,0,0,0,0,483
MATA QUIRI,20,0,2,0,2,5,0,0,8,26,0,4,4,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,7,0,6,7,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,6,1,0,0,1,0,1,0,1,2,0,0,0,9,0,0,0,0,7,1,0,1,1,1,9,0,0,1,0,0,1,11,10,0,1,0,0,0,9,0,0,1,0,2,0,0,0,1,6,4,1,1,0,1,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,222
GUANACES(CHORO ANGICO),0,0,1,0,1,2,0,0,22,5,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
BALBINO,3,5,2,0,0,1,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,6,0,0,0,0,1,0,0,3,0,0,0,0,0,14,0,0,0,0,7,0,0,0,0,40,0,7,0,46,0,0,19,0,8,0,0,0,0,0,0,0,0,0,4,0,30,0,2,5,0,0,0,0,0,0,0,356,2,0,0,0,0,0,2,0,0,0,0,603
GUANACES(LOCALIDADE DE CHORO BEBEDOURO),0,0,4,0,0,5,0,0,6,5,0,1,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103
CORREGO DO CAJUEIRO,0,0,1,0,0,3,0,0,0,0,0,44,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,4,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,86
GUANACES(SITIO SALGADINHO),4,0,1,0,0,10,0,0,11,0,0,3,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,4,0,0,0,0,0,0,0,0,0,0,99
TUJUCUSSU 1,55,0,53,0,3,19,0,4,35,5,0,58,0,0,0,3,0,0,0,1,2,26,0,0,0,1,3,0,0,1,0,2,7,1,82,2,17,0,1,39,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,4,12,1,3,0,0,6,0,4,0,15,11,0,0,31,0,4,2,0,4,11,0,4,4,0,25,0,0,0,0,1,4,14,7,4,15,0,16,0,21,1,0,4,0,3,0,0,1,1,7,1,0,8,0,3,1,5,8,5,0,0,0,7,0,13,0,0,2,0,2,0,1,2,0,736
GUANACES(SITIO COQUEIRO),8,0,4,3,2,44,0,0,10,8,0,7,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,18,0,11,18,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,2,43,4,0,0,0,3,0,0,0,5,12,0,0,1,0,12,0,0,1,3,0,0,0,0,11,1,0,0,1,0,1,12,8,0,55,1,0,0,13,0,0,0,4,1,63,0,5,0,0,2,0,17,4,0,0,0,0,0,0,0,0,8,9,1,0,0,4,0,0,0,0,0,0,500
JACARECOARA(TIM-TIM),1,0,1,0,0,1,0,0,4,1,0,3,0,1,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130
GUANACES(PREAOCA),0,0,0,0,0,104,0,0,8,2,0,9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,23,0,0,0,1,1,0,5,0,0,3,0,0,5,0,2,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,40,0,19,1,0,1,0,0,0,0,0,1,0,7,0,0,0,2,0,0,0,0,0,0,296
PITOMBEIRAS(MELANCIAS),0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,128
SITIO VACA MORTA,24,0,16,0,1,5,1,0,6,6,0,28,0,0,0,13,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,48,0,5,0,2,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,0,0,0,0,0,0,0,1,5,2,0,0,4,0,0,0,1,22,8,0,0,0,0,5,0,0,0,0,0,0,2,23,1,11,0,4,0,8,0,0,8,0,1,0,0,0,0,1,31,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,361
VILA PACHECO,10,0,43,1,6,16,0,0,30,37,0,10,1,0,1,8,0,0,0,0,1,21,0,0,0,1,35,1,0,0,0,1,12,0,23,5,12,0,3,19,1,0,25,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,8,10,31,6,6,3,0,2,0,10,6,14,4,0,0,36,2,2,0,0,9,4,0,16,7,0,46,2,1,2,0,0,2,55,17,4,3,0,12,0,21,1,0,4,0,1,2,0,5,5,9,3,0,3,5,0,0,0,0,0,8,0,14,5,3,16,0,1,0,0,0,0,0,0,0,760
