0198,10000 LUZIANE DO MUCURA,4
0198,10123 PAULINHO PROMOÇÕES,13
0198,10333 DAVID GARCÊS,6
0198,10456 GLEIDSON DA BOA AGUA,7
0198,10555 PROFESSORA ADRIANA,1
0198,10777 PAULO DA JUDITE,14
0198,10789 FLÁVIO CASCAVELENSE,4
0198,11000 FREITAS DA SAÚDE,10
0198,11111 PASTORA HELENA CORDEIRO,1
0198,11222 SEBASTIÃO UCHÔA,4
0198,11234 TIA LURDES,1
0198,11666 LIBERATO FILHO,1
0198,11789 EDUARDO CRUZ,1
0198,12123 NENEM DA VIUVA,4
0198,12789 DAYANE,1
0198,12888 NETO POLI,5
0198,13123 PROFESSOR ADEILDO,5
0198,13444 TIAGO ROCHA,10
0198,13789 PROFESSOR ERIVAN,7
0198,18024 JOJO,1
0198,18888 PROFESSOR SILVESTRE,2
0198,20333 CELIA DAS MARIAS,1
0198,20456 VERA DANTAS,1
0198,22000 CLAUDEMIR TOCA FOGO,5
0198,22100 NÚBIA DO ABRIGO MASCOTINHO,8
0198,22111 VINÍCIUS OLINDA,3
0198,22222 RAFAEL AZEVEDO,6
0198,22300 GILBERTO DA MANGABEIRA,1
0198,22999 PITANGA DA FUNERÁRIA,2
0198,27000 LAURO CARDOSO,1
0198,27123 MARCIO RABELO,2
0198,27456 ENFERMEIRA MARCIA,6
0198,27555 FAFA,1
0198,27777 SERGINHO PARATLETA,2
0198,27888 MARCELO DO PAREDÃO,3
0198,28007 JOSUÉ CORREIA,2
0198,28123 PRISCILA LIMA,13
0198,28666 FANTIQUIM,1
0198,28888 VALDECIR,4
0198,40000 VIEIRA DO TIQUINHO,5
0198,40111 ALLISON CAMILO,1
0198,40123 BETO RAMIRES,11
0198,40444 ADONIAS DO TURISMO,3
0198,40555 NOVO CONSTRUÇÃO,12
0198,44444 KEKEU DO MUCURA,3
0198,44456 JEOVANE DO GÁS,1
0198,44555 LURDENIS VIEIRA,5
0198,44567 NETO DANTAS,6
0198,44789 LUCIÉDSON FREITAS,5
0198,44900 SHEIK DO DR BRUNO,1
0198,45000 MAJU,1
0198,45111 BAMBAM DAS PEGADINHAS,1
0198,45222 YURI MOTA,1
0198,45444 PALOMA DELRIO,2
0198,45678 JUNIOR DO ZE AIRTON,1
0198,45777 BRUMARK,3
0198,45888 ZE DO JORNAL,2
0198,70555 HELENA PORFÍRIO,1
