0159,10000 LUZIANE DO MUCURA,3
0159,10456 GLEIDSON DA BOA AGUA,1
0159,10555 PROFESSORA ADRIANA,1
0159,10777 PAULO DA JUDITE,12
0159,11000 FREITAS DA SAÚDE,14
0159,11111 PASTORA HELENA CORDEIRO,2
0159,11222 SEBASTIÃO UCHÔA,7
0159,11444 EVILÁSIO DANTAS,4
0159,12123 NENEM DA VIUVA,1
0159,12888 NETO POLI,10
0159,13123 PROFESSOR ADEILDO,1
0159,13222 FÁBIA NAPOLEAO,3
0159,13444 TIAGO ROCHA,2
0159,13789 PROFESSOR ERIVAN,1
0159,18888 PROFESSOR SILVESTRE,1
0159,20444 DR MARCIO OLIVEIRA ADVOGADO,1
0159,22111 VINÍCIUS OLINDA,13
0159,22222 RAFAEL AZEVEDO,3
0159,22999 PITANGA DA FUNERÁRIA,1
0159,27456 ENFERMEIRA MARCIA,11
0159,28123 PRISCILA LIMA,13
0159,28777 CLENILDO QUEIROZ,7
0159,40123 BETO RAMIRES,77
0159,40555 NOVO CONSTRUÇÃO,2
0159,44222 LALÁ,5
0159,44789 LUCIÉDSON FREITAS,5
0159,45444 PALOMA DELRIO,1
0159,45555 FRANCISCO DO BALBINO,3
0159,45678 JUNIOR DO ZE AIRTON,1
0159,45888 ZE DO JORNAL,2
